"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1945","Counter cart tidak muncul jika semua item di-remove","","Fri Sep 19 09:39:05 WIB 2025","passed","Fri Sep 19 09:39:07 WIB 2025","Inventory Page","inventory/inventory.spec.js","",""
"","1002","Button berubah jadi remove setelah add to cart","","Fri Sep 19 09:38:58 WIB 2025","failed","Fri Sep 19 09:38:59 WIB 2025","Inventory Item Detail","inventory-item/inventory-item.spec.js","",""
"","30109","Filter Name (Z to A) mengurutkan produk descending","","Fri Sep 19 09:39:39 WIB 2025","broken","Fri Sep 19 09:40:09 WIB 2025","Inventory Page","inventory/inventory.spec.js","",""
"","1417","Halaman login terbuka dan form login terlihat","","Fri Sep 19 09:38:53 WIB 2025","passed","Fri Sep 19 09:38:54 WIB 2025","Login Page","login/login.spec.js","",""
"","30114","Filter Price (high to low) mengurutkan produk dari harga tertinggi","","Fri Sep 19 09:40:40 WIB 2025","broken","Fri Sep 19 09:41:10 WIB 2025","Inventory Page","inventory/inventory.spec.js","",""
"","1837","Cart kosong jika belum ada produk","","Fri Sep 19 09:38:53 WIB 2025","passed","Fri Sep 19 09:38:55 WIB 2025","Order Placement & Checkout","orderplacement/checkout.spec.js","",""
"","789","Melihat judul product tiap item","","Fri Sep 19 09:38:57 WIB 2025","passed","Fri Sep 19 09:38:57 WIB 2025","Inventory Page","inventory/inventory.spec.js","",""
"","559","Tidak bisa login jika username dan password kosong","","Fri Sep 19 09:38:57 WIB 2025","passed","Fri Sep 19 09:38:57 WIB 2025","Login Page","login/login.spec.js","",""
"","824","Melihat gambar product tiap item","","Fri Sep 19 09:38:56 WIB 2025","passed","Fri Sep 19 09:38:57 WIB 2025","Inventory Page","inventory/inventory.spec.js","",""
"","810","Tidak bisa akses cart.html tanpa session","","Fri Sep 19 09:39:01 WIB 2025","passed","Fri Sep 19 09:39:02 WIB 2025","Login Page","login/login.spec.js","",""
"","6027","Counter cart berkurang setelah remove","","Fri Sep 19 09:39:01 WIB 2025","failed","Fri Sep 19 09:39:07 WIB 2025","Inventory Item Detail","inventory-item/inventory-item.spec.js","",""
"","1129","Kembali ke list product dari halaman detail","","Fri Sep 19 09:39:07 WIB 2025","passed","Fri Sep 19 09:39:08 WIB 2025","Inventory Item Detail","inventory-item/inventory-item.spec.js","",""
"","30110","Filter Price (low to high) mengurutkan produk dari harga terendah","","Fri Sep 19 09:40:09 WIB 2025","broken","Fri Sep 19 09:40:39 WIB 2025","Inventory Page","inventory/inventory.spec.js","",""
"","1287","Add semua item ke cart, counter sesuai jumlah item","","Fri Sep 19 09:39:02 WIB 2025","passed","Fri Sep 19 09:39:03 WIB 2025","Inventory Page","inventory/inventory.spec.js","",""
"","808","Counter cart bertambah setelah Add to Cart","","Fri Sep 19 09:39:01 WIB 2025","passed","Fri Sep 19 09:39:02 WIB 2025","Inventory Page","inventory/inventory.spec.js","",""
