"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30086","Filter Price (high to low) mengurutkan produk dari harga tertinggi","","2026-04-03","broken","2026-04-03","Inventory Page","inventory/inventory.spec.js","",""
"","735","Counter cart berkurang setelah Remove","","2026-04-03","passed","2026-04-03","Inventory Page","inventory/inventory.spec.js","",""
"","786","Button add to cart terlihat jika belum ditambahkan","","2026-04-03","passed","2026-04-03","Inventory Item Detail","inventory-item/inventory-item.spec.js","",""
"","30096","Filter Name (Z to A) mengurutkan produk descending","","2026-04-03","broken","2026-04-03","Inventory Page","inventory/inventory.spec.js","",""
"","678","Melihat harga tiap product dengan format $x.xx","","2026-04-03","passed","2026-04-03","Inventory Page","inventory/inventory.spec.js","",""
"","556","Tidak bisa login jika password salah","","2026-04-03","passed","2026-04-03","Login Page","login/login.spec.js","",""
"","1603","Counter cart tidak muncul jika semua item di-remove","","2026-04-03","passed","2026-04-03","Inventory Page","inventory/inventory.spec.js","",""
"","870","Button berubah jadi remove setelah add to cart","","2026-04-03","failed","2026-04-03","Inventory Item Detail","inventory-item/inventory-item.spec.js","",""
"","942","Dapat melihat detail product dari judul di cart","","2026-04-03","passed","2026-04-03","Inventory Item Detail","inventory-item/inventory-item.spec.js","",""
"","787","Button Remove muncul setelah Add to Cart, dan kembali ke Add to Cart setelah diklik","","2026-04-03","passed","2026-04-03","Inventory Page","inventory/inventory.spec.js","",""
"","1162","Add semua item ke cart, counter sesuai jumlah item","","2026-04-03","passed","2026-04-03","Inventory Page","inventory/inventory.spec.js","",""
"","889","Dapat melihat detail product dari judul di list products","","2026-04-03","passed","2026-04-03","Inventory Item Detail","inventory-item/inventory-item.spec.js","",""
"","30102","Filter Price (low to high) mengurutkan produk dari harga terendah","","2026-04-03","broken","2026-04-03","Inventory Page","inventory/inventory.spec.js","",""
"","467","Tidak bisa akses checkout-step-one.html tanpa session","","2026-04-03","passed","2026-04-03","Login Page","login/login.spec.js","",""
"","1238","Checkout 1 produk sampai selesai","","2026-04-03","passed","2026-04-03","Order Placement & Checkout","orderplacement/checkout.spec.js","",""
"","6007","Counter cart berkurang setelah remove","","2026-04-03","failed","2026-04-03","Inventory Item Detail","inventory-item/inventory-item.spec.js","",""
"","683","Melihat gambar product tiap item","","2026-04-03","passed","2026-04-03","Inventory Page","inventory/inventory.spec.js","",""
"","364","Halaman login terbuka dan form login terlihat","","2026-04-03","passed","2026-04-03","Login Page","login/login.spec.js","",""
"","773","Detail product menampilkan gambar, judul, deskripsi, harga","","2026-04-03","passed","2026-04-03","Inventory Item Detail","inventory-item/inventory-item.spec.js","",""
"","467","Tidak bisa akses checkout-step-two.html tanpa session","","2026-04-03","passed","2026-04-03","Login Page","login/login.spec.js","",""
"","687","Cart kosong jika belum ada produk","","2026-04-03","passed","2026-04-03","Order Placement & Checkout","orderplacement/checkout.spec.js","",""
"","695","Semua button Add to Cart terlihat dan enabled","","2026-04-03","passed","2026-04-03","Inventory Page","inventory/inventory.spec.js","",""
"","695","Melihat judul product tiap item","","2026-04-03","passed","2026-04-03","Inventory Page","inventory/inventory.spec.js","",""
"","970","Counter cart bertambah setelah add to cart","","2026-04-03","passed","2026-04-03","Inventory Item Detail","inventory-item/inventory-item.spec.js","",""
"","473","Tidak bisa akses inventory-item.html tanpa session","","2026-04-03","passed","2026-04-03","Login Page","login/login.spec.js","",""
"","656","Melihat sub judul halaman Products","","2026-04-03","passed","2026-04-03","Inventory Page","inventory/inventory.spec.js","",""
"","635","Semua opsi filter terlihat","","2026-04-03","failed","2026-04-03","Inventory Page","inventory/inventory.spec.js","",""
"","438","Tidak bisa login jika username dan password kosong","","2026-04-03","passed","2026-04-03","Login Page","login/login.spec.js","",""
"","487","Tidak bisa akses checkout-complete.html tanpa session","","2026-04-03","passed","2026-04-03","Login Page","login/login.spec.js","",""
"","773","Button Add to Cart berubah menjadi Remove setelah diklik","","2026-04-03","passed","2026-04-03","Inventory Page","inventory/inventory.spec.js","",""
"","495","Tidak bisa login jika password kosong","","2026-04-03","passed","2026-04-03","Login Page","login/login.spec.js","",""
"","598","Login dengan username dan password valid","","2026-04-03","passed","2026-04-03","Login Page","login/login.spec.js","",""
"","30095","Filter Name (A to Z) mengurutkan produk ascending","","2026-04-03","broken","2026-04-03","Inventory Page","inventory/inventory.spec.js","",""
"","480","Tidak bisa akses cart.html tanpa session","","2026-04-03","passed","2026-04-03","Login Page","login/login.spec.js","",""
"","741","Melihat deskripsi product tiap item","","2026-04-03","passed","2026-04-03","Inventory Page","inventory/inventory.spec.js","",""
"","5671","Footer menampilkan icon social media dan copyright","","2026-04-03","failed","2026-04-03","Inventory Page","inventory/inventory.spec.js","",""
"","489","Tidak bisa login jika username kosong","","2026-04-03","passed","2026-04-03","Login Page","login/login.spec.js","",""
"","757","Counter cart bertambah setelah Add to Cart","","2026-04-03","passed","2026-04-03","Inventory Page","inventory/inventory.spec.js","",""
"","376","Tidak bisa akses inventory.html tanpa session","","2026-04-03","passed","2026-04-03","Login Page","login/login.spec.js","",""
"","775","Melihat judul Swag Labs pada homepage","","2026-04-03","passed","2026-04-03","Inventory Page","inventory/inventory.spec.js","",""
"","855","Kembali ke list product dari halaman detail","","2026-04-03","passed","2026-04-03","Inventory Item Detail","inventory-item/inventory-item.spec.js","",""
